user	build	chip	chip_version	inferred_sex	source
2288	37	OmniExpress plus	v3	Male	23andMe, 23andMe
2633	37	HTS iSelect HD	v4	Male	23andMe
2214	37	OmniExpress plus	v3	Male	23andMe
2498	37	OmniExpress plus	v3	Male	23andMe
26	37			Male	vcf, 23andMe
2238	37	OmniExpress plus	v3	Male	23andMe
2635	37	HTS iSelect HD	v4	Female	23andMe
2512	37	OmniExpress plus	v3	Female	23andMe
216	37	OmniExpress plus	v3	Male	23andMe
2189	37	HTS iSelect HD	v4	Male	23andMe
2047	37	OmniExpress	v1	Male	AncestryDNA
2070	37				23andMe
2050	37	OmniExpress plus	v3	Female	23andMe
2067	37	HTS iSelect HD	v4	Male	23andMe
215	37			Male	generic
2042	37	OmniExpress plus	v3	Male	23andMe
266	37	OmniExpress plus	v3	Male	23andMe
2616	37	HTS iSelect HD	v4	Male	23andMe
2570	37	HTS iSelect HD	v4	Male	23andMe
2025	37	HTS iSelect HD	v4	Female	23andMe
2166	37	HTS iSelect HD	v4	Female	23andMe
2183	37	HTS iSelect HD	v4	Male	23andMe
2278	37	OmniExpress plus	v3	Female	23andMe
2030	37	HTS iSelect HD	v4	Female	23andMe
2207	37	OmniExpress	v1	Male	AncestryDNA
2402	37	HTS iSelect HD	v4	Male	23andMe
258	37	OmniExpress plus	v3	Male	23andMe
2034	37	HTS iSelect HD	v4	Female	23andMe
2694	37				FTDNA
2041	37	OmniExpress		Female	FTDNA, FTDNA
2090	37	HTS iSelect HD	v4	Female	23andMe
2307	37	OmniExpress plus	v3	Female	23andMe
2676	37	OmniExpress plus	v3	Male	23andMe
2153	37	OmniExpress plus	v3	Male	23andMe
203	37	OmniExpress			FTDNA
2162	37	OmniExpress plus	v3	Male	23andMe
251	37	OmniExpress plus	v3	Female	23andMe
22	37	OmniExpress plus	v3	Male	23andMe
2457	37	HTS iSelect HD	v4	Male	23andMe
2075	37	HTS iSelect HD	v4	Female	23andMe
2399	37	HTS iSelect HD	v4	Female	23andMe
2236	37	OmniExpress plus	v3	Female	23andMe
2557	37	HTS iSelect HD	v4	Male	23andMe
2692	37	HTS iSelect HD	v4	Male	23andMe
2274	37			Male	23andMe
2510	37	HTS iSelect HD	v4	Male	23andMe
2293	37	OmniExpress plus	v3	Female	23andMe
2421	37	HTS iSelect HD	v4	Male	23andMe
2358	37	OmniExpress	v1	Female	AncestryDNA
2687	37	OmniExpress plus	v3	Male	23andMe
241	37	OmniExpress plus	v3	Male	23andMe
2203	37	OmniExpress	v1	Male	AncestryDNA
2023	37	OmniExpress plus	v3	Female	23andMe
2035	37	OmniExpress plus	v3	Female	23andMe
2506	37	OmniExpress			FTDNA
2039	37	HTS iSelect HD	v4	Male	23andMe
2662	37				23andMe
2151	37	OmniExpress plus	v3	Male	23andMe
2040	37	OmniExpress	v1	Female	AncestryDNA
2074	37	OmniExpress plus	v3	Male	23andMe
2276	37	HTS iSelect HD	v4	Female	23andMe
2356	37	HTS iSelect HD	v4	Female	23andMe
2504	37	OmniExpress plus	v3	Male	23andMe
2239	37	HTS iSelect HD	v4	Male	23andMe
2291	37	HTS iSelect HD	v4	Male	23andMe
2558	37	OmniExpress plus	v3	Female	23andMe
210	37			Male	23andMe
2225	37	HTS iSelect HD	v4	Female	23andMe
2339	37	OmniExpress plus	v3	Female	23andMe
2052	37	HTS iSelect HD	v4	Female	23andMe
2275	37				23andMe
2700	37	OmniExpress plus	v3	Female	23andMe
268	37	OmniExpress plus	v3	Female	23andMe
2279	37	HTS iSelect HD	v4	Male	23andMe
2329	37	OmniExpress plus	v3	Female	23andMe
2675	37	HTS iSelect HD	v4	Female	23andMe
2350	37	HTS iSelect HD	v4	Male	23andMe
2080	37	OmniExpress plus	v3	Male	23andMe
2077	37	OmniExpress plus	v3	Male	23andMe
2574	37	OmniExpress	v1	Male	AncestryDNA
2677	37	OmniExpress plus	v3	Male	23andMe
2024	37	OmniExpress plus	v3	Male	23andMe
253	37	OmniExpress plus	v3	Male	23andMe
